"TagId";"EntityId";"CreationDate"
524;120;"2020-11-12 17:09:07"
525;120;"2020-11-12 17:09:07"
526;120;"2020-11-12 17:09:07"
527;120;"2020-11-12 17:09:07"
528;120;"2020-11-12 17:09:07"
529;120;"2020-11-12 17:09:07"
530;120;"2020-11-12 17:09:07"
531;120;"2020-11-12 17:09:07"
532;120;"2020-11-12 17:09:07"
534;120;"2020-11-12 17:09:07"
533;120;"2020-11-12 17:09:07"
535;120;"2020-11-12 17:09:07"
536;120;"2020-11-12 17:09:07"
537;120;"2020-11-12 17:09:07"
541;120;"2020-11-12 17:09:07"
538;120;"2020-11-12 17:09:07"
539;120;"2020-11-12 17:09:07"
540;120;"2020-11-12 17:09:07"
542;120;"2020-11-12 17:09:07"
544;120;"2020-11-12 17:09:07"
545;120;"2020-11-12 17:09:07"
543;120;"2020-11-12 17:09:07"
626;238;"2021-09-08 12:49:24"
625;238;"2021-09-08 12:49:24"
620;238;"2021-09-08 12:49:24"
621;238;"2021-09-08 12:49:24"
581;238;"2021-09-08 12:49:24"
596;238;"2021-09-08 12:49:24"
599;238;"2021-09-08 12:49:24"
587;238;"2021-09-08 12:49:24"
523;238;"2021-09-08 12:49:24"
541;238;"2021-09-08 12:49:24"
538;238;"2021-09-08 12:49:24"
480;238;"2021-09-08 12:49:24"
495;238;"2021-09-08 12:49:24"
502;238;"2021-09-08 12:49:24"
505;238;"2021-09-08 12:49:24"
626;234;"2021-09-08 12:51:00"
581;234;"2021-09-08 12:51:00"
624;204;"2021-09-08 12:51:07"
626;204;"2021-09-08 12:51:07"
596;204;"2021-09-08 12:51:07"
599;204;"2021-09-08 12:51:07"
587;204;"2021-09-08 12:51:07"
626;187;"2021-09-08 12:51:12"
581;187;"2021-09-08 12:51:12"
596;187;"2021-09-08 12:51:12"
599;187;"2021-09-08 12:51:12"
587;187;"2021-09-08 12:51:12"
589;187;"2021-09-08 12:51:12"
604;187;"2021-09-08 12:51:12"
605;187;"2021-09-08 12:51:12"
612;187;"2021-09-08 12:51:12"
633;187;"2021-09-08 12:51:12"
639;187;"2021-09-08 12:51:12"
629;187;"2021-09-08 12:51:12"
628;187;"2021-09-08 12:51:12"
468;187;"2021-09-08 12:51:12"
476;187;"2021-09-08 12:51:12"
480;187;"2021-09-08 12:51:12"
516;187;"2021-09-08 12:51:12"
626;188;"2021-09-08 12:51:16"
625;188;"2021-09-08 12:51:16"
581;188;"2021-09-08 12:51:16"
596;188;"2021-09-08 12:51:16"
476;188;"2021-09-08 12:51:16"
523;188;"2021-09-08 12:51:16"
626;145;"2021-09-08 12:51:20"
587;145;"2021-09-08 12:51:20"
590;145;"2021-09-08 12:51:20"
588;145;"2021-09-08 12:51:20"
589;145;"2021-09-08 12:51:21"
593;145;"2021-09-08 12:51:21"
604;145;"2021-09-08 12:51:21"
607;145;"2021-09-08 12:51:21"
605;145;"2021-09-08 12:51:21"
612;145;"2021-09-08 12:51:21"
614;145;"2021-09-08 12:51:21"
572;145;"2021-09-08 12:51:21"
573;145;"2021-09-08 12:51:21"
574;145;"2021-09-08 12:51:21"
633;145;"2021-09-08 12:51:21"
628;145;"2021-09-08 12:51:21"
467;145;"2021-09-08 12:51:21"
465;145;"2021-09-08 12:51:21"
464;145;"2021-09-08 12:51:21"
468;145;"2021-09-08 12:51:21"
475;145;"2021-09-08 12:51:21"
476;145;"2021-09-08 12:51:21"
523;145;"2021-09-08 12:51:21"
525;145;"2021-09-08 12:51:21"
527;145;"2021-09-08 12:51:21"
532;145;"2021-09-08 12:51:21"
541;145;"2021-09-08 12:51:21"
538;145;"2021-09-08 12:51:21"
546;145;"2021-09-08 12:51:21"
547;145;"2021-09-08 12:51:21"
555;145;"2021-09-08 12:51:21"
480;145;"2021-09-08 12:51:21"
490;145;"2021-09-08 12:51:21"
495;145;"2021-09-08 12:51:21"
626;176;"2021-09-08 12:51:25"
625;176;"2021-09-08 12:51:25"
581;176;"2021-09-08 12:51:25"
587;176;"2021-09-08 12:51:25"
590;176;"2021-09-08 12:51:25"
588;176;"2021-09-08 12:51:25"
589;176;"2021-09-08 12:51:26"
594;176;"2021-09-08 12:51:26"
593;176;"2021-09-08 12:51:26"
604;176;"2021-09-08 12:51:26"
605;176;"2021-09-08 12:51:26"
610;176;"2021-09-08 12:51:26"
612;176;"2021-09-08 12:51:26"
613;176;"2021-09-08 12:51:26"
614;176;"2021-09-08 12:51:26"
640;176;"2021-09-08 12:51:26"
628;176;"2021-09-08 12:51:26"
465;176;"2021-09-08 12:51:26"
468;176;"2021-09-08 12:51:26"
477;176;"2021-09-08 12:51:26"
546;176;"2021-09-08 12:51:26"
555;176;"2021-09-08 12:51:26"
556;176;"2021-09-08 12:51:26"
480;176;"2021-09-08 12:51:26"
483;176;"2021-09-08 12:51:26"
490;176;"2021-09-08 12:51:26"
626;209;"2021-09-08 12:51:31"
625;209;"2021-09-08 12:51:31"
623;209;"2021-09-08 12:51:31"
581;209;"2021-09-08 12:51:31"
583;209;"2021-09-08 12:51:31"
596;209;"2021-09-08 12:51:31"
599;209;"2021-09-08 12:51:31"
587;209;"2021-09-08 12:51:31"
589;209;"2021-09-08 12:51:31"
594;209;"2021-09-08 12:51:31"
593;209;"2021-09-08 12:51:31"
604;209;"2021-09-08 12:51:31"
606;209;"2021-09-08 12:51:31"
616;209;"2021-09-08 12:51:31"
609;209;"2021-09-08 12:51:31"
605;209;"2021-09-08 12:51:31"
612;209;"2021-09-08 12:51:31"
614;209;"2021-09-08 12:51:31"
615;209;"2021-09-08 12:51:31"
572;209;"2021-09-08 12:51:32"
573;209;"2021-09-08 12:51:32"
574;209;"2021-09-08 12:51:32"
575;209;"2021-09-08 12:51:32"
576;209;"2021-09-08 12:51:32"
577;209;"2021-09-08 12:51:32"
578;209;"2021-09-08 12:51:32"
467;209;"2021-09-08 12:51:32"
478;209;"2021-09-08 12:51:32"
465;209;"2021-09-08 12:51:32"
464;209;"2021-09-08 12:51:32"
466;209;"2021-09-08 12:51:32"
477;209;"2021-09-08 12:51:32"
476;209;"2021-09-08 12:51:32"
523;209;"2021-09-08 12:51:32"
527;209;"2021-09-08 12:51:32"
530;209;"2021-09-08 12:51:32"
531;209;"2021-09-08 12:51:32"
534;209;"2021-09-08 12:51:32"
533;209;"2021-09-08 12:51:32"
537;209;"2021-09-08 12:51:32"
541;209;"2021-09-08 12:51:32"
538;209;"2021-09-08 12:51:32"
540;209;"2021-09-08 12:51:32"
544;209;"2021-09-08 12:51:32"
545;209;"2021-09-08 12:51:32"
546;209;"2021-09-08 12:51:32"
547;209;"2021-09-08 12:51:32"
